Rk,G,2022 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2017-04-15,EC1,MIL,@,TOR,1,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2017-04-18,EC1,MIL,@,TOR,2,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2017-04-20,EC1,MIL,,TOR,3,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2017-04-22,EC1,MIL,,TOR,4,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2017-04-24,EC1,MIL,@,TOR,5,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2017-04-27,EC1,MIL,,TOR,6,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,1,2022-04-16,WC1,GSW,,DEN,1,W (+16),0,19:40,2,3,0.667,0,0,,1,2,0.5,2,1,3,2,0,1,0,0,5,7.1,+12
8,2,2022-04-18,WC1,GSW,,DEN,2,W (+20),0,18:01,0,1,0,0,0,,3,4,0.75,1,4,5,1,1,2,0,1,3,6.5,+7
9,3,2022-04-21,WC1,GSW,@,DEN,3,W (+5),0,14:28,4,4,1,3,3,1,0,0,,1,2,3,0,1,0,0,2,11,11.3,+10
10,4,2022-04-24,WC1,GSW,@,DEN,4,L (-5),0,6:49,0,1,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0.3,-9
11,5,2022-04-27,WC1,GSW,,DEN,5,W (+4),0,25:46:00,6,8,0.75,3,4,0.75,0,0,,1,2,3,3,2,1,0,3,15,16.7,0
12,6,2022-05-01,WCS,GSW,@,MEM,1,W (+1),1,23:11,4,5,0.8,0,0,,0,0,,4,3,7,3,1,1,4,4,8,8,+1
13,7,2022-05-03,WCS,GSW,@,MEM,2,L (-5),1,2:52,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,-7
14,,2022-05-07,,GSW,,MEM,,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2022-05-09,,GSW,,MEM,,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
